GENESIS-Tabelle: 21211-003Z
Berufsbildung: Abschlußprüfungen,;;;;;;;;;
Ausbildungsbereiche, Prüfungserfolg;;;;;;;;;
- Sachsen - Jahre ab 1993;;;;;;;;;
Berufsbildung;;;;;;;;;
Freistaat Sachsen;;;;;;;;;
Abschlussprüfungen in der beruflichen Ausbildung (Anzahl);;;;;;;;;
;;Insgesamt;männlich;weiblich;mit vorzeitiger Zulassung;Prüfungswiederholer;Darunter mit bestandener Abschlussprüfung;Darunter mit bestandener Abschlussprüfung;Darunter mit bestandener Abschlussprüfung
;;;;;;;Insgesamt;männlich;weiblich
Insgesamt;1993;6048;19169;14490;2425;3623;27719;15921;11798
Insgesamt;1994;5552;24439;20444;1296;4256;38007;20482;17525
Insgesamt;1995;5166;21033;16360;1122;4044;31506;17443;14063
Insgesamt;1996;5657;23755;16083;1344;4313;32579;18980;13599
Insgesamt;1997;5877;25532;17472;140;5737;34613;20116;14497
Insgesamt;1998;6654;27802;16934;321;6333;35792;21630;14162
Insgesamt;1999;6324;27401;17679;337;5987;36688;21615;15073
Insgesamt;2000;6429;26905;17638;356;6073;36252;21163;15089
Insgesamt;2001;6187;25497;16921;382;5805;34903;20234;14669
Insgesamt;2002;6003;24707;16192;416;5587;32726;19040;13686
Insgesamt;2003;6334;23740;15393;405;5929;31553;18603;12950
Insgesamt;2004;5867;21720;14756;349;5518;29944;17293;12651
Insgesamt;2005;5311;21208;13904;301;5010;28509;16753;11756
Insgesamt;2006;5062;21566;13321;367;4695;28399;17183;11216
Insgesamt;2007;3255;17098;10871;377;2878;23799;14154;9645
Insgesamt;2008;3650;18768;10326;493;3157;24708;15683;9025
Insgesamt;2009;3867;18196;10554;659;3208;24343;15118;9225
Insgesamt;2010;3525;16923;10364;534;2991;22911;13942;8969
Insgesamt;2011;3801;15505;9503;589;3212;21323;12965;8358
Insgesamt;2012;3086;12856;8070;589;2497;17980;10848;7132
Insgesamt;2013;2433;10660;7040;538;1895;15382;9215;6167
Insgesamt;2014;2302;9845;6431;590;1712;14197;8552;5645
Insgesamt;2015;2026;9268;5919;557;1469;13240;8060;5180
Insgesamt;2016;2011;8962;5690;613;1398;12808;7762;5046
Industrie und Handel;1993;5520;11161;10506;2396;3124;17218;8994;8224
Industrie und Handel;1994;4108;13472;8987;1224;2884;18447;11096;7351
Industrie und Handel;1995;3251;9510;7918;1084;2167;14223;7737;6486
Industrie und Handel;1996;2964;8212;7701;1284;1680;13122;6752;6370
Industrie und Handel;1997;2193;9100;9586;51;2142;15143;7417;7726
Industrie und Handel;1998;2738;9338;8795;262;2476;14967;7691;7276
Industrie und Handel;1999;2371;10144;10298;291;2080;17137;8410;8727
Industrie und Handel;2000;2540;10620;10047;301;2239;17359;8897;8462
Industrie und Handel;2001;2664;11520;10259;314;2350;18257;9467;8790
Industrie und Handel;2002;3016;12283;10154;384;2632;18555;9945;8610
Industrie und Handel;2003;3004;12331;9363;356;2648;17990;10020;7970
Industrie und Handel;2004;2950;11991;9001;275;2675;17599;9887;7712
Industrie und Handel;2005;2654;11969;8277;270;2384;17035;9963;7072
Industrie und Handel;2006;2572;12854;8018;324;2248;17547;10757;6790
Industrie und Handel;2007;2221;11511;7478;361;1860;16513;9873;6640
Industrie und Handel;2008;2375;11646;6988;463;1912;15955;9932;6023
Industrie und Handel;2009;2522;11495;7084;538;1984;15838;9707;6131
Industrie und Handel;2010;2652;11146;6927;457;2195;15294;9329;5965
