Studenten/Studienanfänger/Studenten im 1. Fachsemester/;;;;;;;;;;;;;
Absolventen, Hochschularten/Hochschulen, Geschlecht;;;;;;;;;;;;;
- Sachsen - Jahre (ab 1993);;;;;;;;;;;;;
Statistik der Studenten;;;;;;;;;;;;;
Freistaat Sachsen;;;;;;;;;;;;;
Anzahl Studierende (Anzahl);;;;;;;;;;;;;
Typ;Jahr;Studenten im Wintersemester;Studenten im Wintersemester;Studenten im Wintersemester;Studienanfänger im 1. Hochschulsemester;Studienanfänger im 1. Hochschulsemester;Studienanfänger im 1. Hochschulsemester;Studenten im 1. Fachsemester;Studenten im 1. Fachsemester;Studenten im 1. Fachsemester;Absolventen;Absolventen;Absolventen
;;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich;Insgesamt;männlich;weiblich
Insgesamt;1993;58746;33964;24782;12099;6490;5609;13031;6927;6104;7448;4600;2848
Insgesamt;1994;63549;36521;27028;13175;7231;5944;14383;7692;6691;7988;4460;3528
Insgesamt;1995;67231;37504;29727;14115;7007;7108;17604;9101;8503;9664;5820;3844
Insgesamt;1996;70574;38235;32339;15386;7705;7681;20618;10931;9687;11676;6946;4730
Insgesamt;1997;73544;38978;34566;15527;7778;7749;20683;10743;9940;9884;5622;4262
Insgesamt;1998;76678;39991;36687;16041;8052;7989;20629;10559;10070;9183;5052;4131
Insgesamt;1999;80171;41622;38549;16985;8699;8286;21587;11132;10455;9201;4813;4388
Insgesamt;2000;84516;44021;40495;18013;9400;8613;23027;12003;11024;9898;5130;4768
Insgesamt;2001;90162;47265;42897;19158;10248;8910;24983;13186;11797;10275;5205;5070
Insgesamt;2002;96241;50308;45933;20087;10236;9851;26696;13781;12915;10890;5603;5287
Insgesamt;2003;103003;54170;48833;21792;11695;10097;28477;15137;13340;11705;5882;5823
Insgesamt;2004;106552;56412;50140;20464;10889;9575;27386;14497;12889;12223;6149;6074
Insgesamt;2005;107792;57671;50121;19940;10818;9122;26403;14367;12036;12928;6619;6309
Insgesamt;2006;106776;57537;49239;18600;10063;8537;24448;13643;10805;13995;7119;6876
Insgesamt;2007;107576;57828;49748;20847;10808;10039;26238;14157;12081;15789;8090;7699
Insgesamt;2008;107355;57683;49672;20659;10757;9902;26241;14215;12026;16580;8452;8128
Insgesamt;2009;109363;58839;50524;21616;11203;10413;29156;15537;13619;18063;9048;9015
Insgesamt;2010;109761;59638;50123;20269;11011;9258;29396;15722;13674;19828;9743;10085
Insgesamt;2011;111635;61391;50244;21478;12117;9361;31953;17466;14487;21995;10729;11266
