Period;Revenue;Sales_quantity;Average_cost;The_average_annual_payroll_of_the_region
2015-01-01;16010072.1195;12729;1257.76354148008;30024676
2015-02-01;15807587.449808;11636;1358.50699981162;30024676
2015-03-01;22047146.023644;15922;1384.69702447205;30024676
2015-04-01;18814583.29428;15227;1235.60670481907;30024676
2015-05-01;14021479.611678;8620;1626.62176469582;30024676
2015-06-01;16783928.522112;13160;1275.37450775927;30024676
2015-07-01;19161892.194872;17254;1110.57680508126;30024676
2015-08-01;15204984.296742;8642;1759.4288702548;30024676
2015-09-01;20603939.9751;16144;1276.25990926041;30024676
2015-10-01;20992874.780136;18135;1157.58890433615;30024676
2015-11-01;14993369.65763;10841;1383.02459714325;30024676
2015-12-01;27791807.639848;22113;1256.80855785502;30024676
2016-01-01;28601586.496;15365;1861.4765047836;27828571
2016-02-01;22367074.065584;13153;1700.53022622854;27828571
2016-03-01;29738608.568;18339;1621.60469862043;27828571
2016-04-01;28351007.9388;13909;2038.3210826659;27828571
2016-05-01;15264603.734865;8553;1784.70755698176;27828571
2016-06-01;24385658.077056;15101;1614.83730064605;27828571
2016-07-01;29486517.069955;15695;1878.72042497324;27828571
2016-08-01;15270117.2565;8314;1836.67515714457;27828571
2016-09-01;36141027.562;17764;2034.50954526008;27828571
2016-10-01;27915143.655;18969;1471.61914992883;27828571
2016-11-01;21272049.3454;13433;1583.56654101094;27828571
2016-12-01;42014159.88396;27029;1554.41044374413;27828571
2017-01-01;36007380.67;16889;2132.00193439517;27406473
2017-02-01;30396775.3784;15864;1916.08518522441;27406473
2017-03-01;47678130.72603;22786;2092.43091047266;27406473
2017-04-01;27013964.728324;17910;1508.31740526655;27406473
2017-05-01;24948844.698;10777;2315.00832309548;27406473
2017-06-01;31101345.543;18799;1654.4148913772;27406473
2017-07-01;33848822.228544;17899;1891.10130334343;27406473
2017-08-01;16454666.958;9649;1705.32355249249;27406473
2017-09-01;31650092.652;20159;1570.02295014634;27406473
2017-10-01;31572205.6224;19519;1617.51143103643;27406473
2017-11-01;22446371.0268;15360;1461.35228039063;27406473
2017-12-01;44966125.7696;30833;1458.37660200435;27406473
2018-01-01;44067520.858;19812;2224.28431546538;28197847
2018-02-01;36020287.1553;18424;1955.07420512918;28197847
2018-03-01;46995990.4125;29004;1620.32790003103;28197847
2018-04-01;35536487.6848;22033;1612.87558139155;28197847
2018-05-01;29699599.176;14959;1985.40003850525;28197847
2018-06-01;33261065.3886;23067;1441.93286463779;28197847
2018-07-01;35826534.9072;18397;1947.41180122846;28197847
2018-08-01;23268655.2112;12045;1931.81031226235;28197847
2018-09-01;35423489.85;23358;1516.54635884922;28197847
2018-10-01;39831565.6974;22644;1759.03399122946;28197847
2018-11-01;32999145.2096;19765;1669.57476395649;28197847
2018-12-01;47221828.2018;33207;1422.04439430843;28197847
2019-01-01;36459960.091485;24096;1513.11255359749;29878525
2019-02-01;36546498.663015;21624;1690.08965330258;29878525
2019-03-01;54198706.7196;33379;1623.7366823332;29878525
2019-04-01;32743989.6056;22265;1470.64853382439;29878525
2019-05-01;32531657.5397;16967;1917.34882652797;29878525
2019-06-01;47709701.6346;24958;1911.59955263242;29878525
2019-07-01;45992141.57398;21917;2098.46884035133;29878525
2019-08-01;36933665.022;14431;2559.32818390964;29878525
2019-09-01;48526260.1344;23253;2086.88169846471;29878525
2019-10-01;44160416.1824;26603;1659.9788062399;29878525
2019-11-01;36374956.4944;21987;1654.38470434348;29878525
2019-12-01;58756473.6608;38069;1543.42046444088;29878525
2020-01-01;56288300.87;27184;2070.64085013243;29044998
2020-02-01;40225243.264;23509;1711.05718082437;29044998
2020-03-01;50022165.2325;32569;1535.88274839571;29044998
2020-04-01;52320692.9428;26615;1965.83479026113;29044998
2020-05-01;;;;
2020-06-01;;;;
2020-07-01;;;;
2020-08-01;;;;
2020-09-01;;;;
2020-10-01;;;;
2020-11-01;;;;
2020-12-01;;;;
2021-01-01;;;;
2021-02-01;;;;
2021-03-01;;;;
2021-04-01;;;;
2021-05-01;;;;
2021-06-01;;;;
2021-07-01;;;;
2021-08-01;;;;
2021-09-01;;;;
2021-10-01;;;;
2021-11-01;;;;
2021-12-01;;;;
2022-01-01;;;;
2022-02-01;;;;
2022-03-01;;;;
2022-04-01;;;;
2022-05-01;;;;
2022-06-01;;;;
2022-07-01;;;;
2022-08-01;;;;
2022-09-01;;;;
2022-10-01;;;;
2022-11-01;;;;
2022-12-01;;;;
