year,week,weekly_infections
2009,40,6600
2009,41,7100
2009,42,7700
2009,43,8300
2009,44,8600
2009,45,10800
2009,46,14400
2009,47,15800
2009,48,16800
2009,49,15300
2009,50,14500
2009,51,12700
2009,52,7900
2009,53,7200
2010,1,8200
2010,2,10400
2010,3,7400
2010,4,8600
2010,5,7600
2010,6,8000
2010,7,9200
2010,10,7800
2010,11,6900
2010,12,8100
2010,13,3100
2010,40,9000
2010,41,8900
2010,42,8500
2010,43,9100
2010,44,7300
2010,45,7900
2010,46,8200
2010,47,10100
2010,48,9700
2010,49,9200
2010,50,10400
2010,51,10000
2010,52,9000
2011,1,9800
2011,2,12600
2011,3,12700
2011,4,15600
2011,5,19200
2011,6,15000
2011,7,13600
2011,8,11900
2011,9,12200
2011,10,11700
2011,11,9000
2011,12,7100
2011,13,6400
2011,40,6900
2011,41,7300
2011,42,7900
2011,43,7700
2011,44,7500
2011,45,8700
2011,46,8900
2011,47,7700
2011,48,8800
2011,49,8300
2011,50,8400
2011,51,8100
2011,52,6800
2012,1,7300
2012,2,7500
2012,3,6900
2012,4,6900
2012,5,7900
2012,6,11300
2012,7,14700
2012,8,15100
2012,9,15200
2012,10,12700
2012,11,9900
2012,12,8700
2012,13,6700
2012,14,5000
2012,40,5500
2012,41,6300
2012,42,6500
2012,43,6100
2012,44,6300
2012,45,6600
2012,46,6300
2012,47,6200
2012,48,6600
2012,49,6900
2012,50,7100
2012,51,7300
2013,1,7100
2013,2,8900
2013,3,9900
2013,4,10800
2013,5,12600
2013,6,14600
2013,7,15100
2013,8,17000
2013,9,15800
2013,10,14000
2013,11,12700
2013,12,11100
2013,13,10500
2013,14,9200
2013,40,7700
2013,41,7400
2013,42,7100
2013,43,6900
2013,44,6200
2013,45,6700
2013,46,6700
2013,47,6900
2013,48,6700
2013,49,7100
2013,50,7800
2013,51,7700
2014,2,7500
2014,3,6400
2014,4,7200
2014,5,8400
2014,6,9200
2014,7,9900
2014,8,9700
2014,9,9500
2014,10,9700
2014,11,9700
2014,12,7900
2014,13,6800
2014,14,6500
2014,40,7000
2014,41,6100
2014,42,6900
2014,43,6500
2014,44,6400
2014,45,6800
2014,46,6300
2014,47,6000
2014,48,7600
2014,49,7500
2014,50,7600
2014,51,7700
2015,2,8500
2015,3,8300
2015,4,8700
2015,5,11100
2015,6,13900
2015,7,15400
2015,8,14900
2015,9,14800
2015,10,13100
2015,11,11900
2015,12,10900
2015,13,8600
2015,14,5500
2015,15,5300
2015,40,6900
2015,41,6500
2015,42,6900
2015,43,6700
2015,44,7200
2015,45,5500
2015,46,5600
2015,47,5400
2015,48,4500
2015,49,5700
2015,50,7600
2015,51,7300
2016,1,8300
2016,2,8100
2016,3,9100
2016,4,10300
2016,5,12700
2016,6,14000
2016,7,13900
2016,8,13500
2016,9,13000
2016,10,10100
2016,11,9600
2016,12,6400
2016,13,4400
2016,14,5500
2016,40,5600
2016,41,7200
2016,42,7100
2016,43,7100
2016,44,7400
2016,45,6800
2016,46,7200
2016,47,6700
2016,48,7000
2016,49,6700
2016,50,9000
2017,51,11400
2017,1,19700
2017,2,19200
2017,3,13600
2017,4,13000
2017,5,12600
2017,6,8400
2017,7,7500
2017,8,6700
2017,9,4600
2017,10,4100
2017,11,3100
2017,12,3000
2017,13,2600
2017,14,2100
2017,40,3700
2017,41,4700
2017,42,5000
2017,43,4100
2017,44,5100
2017,45,4600
2017,46,4800
2017,47,4800
2017,48,4600
2017,49,4800
2017,50,5500
2018,51,4900
2018,1,6800
2018,2,8400
2018,3,10100
2018,4,12800
2018,5,13700
2018,6,14600
2018,7,14200
2018,8,14200
2018,9,13900
2018,10,13500
2018,11,9600
2018,12,7800
2018,13,4500
2018,14,3300
