year,month,week,day,date,skyCover_7h,skyCover_14h,skyCover_19h,temp_7h,temp_14h,temp_19h,temp_dailyMean,temp_dailyMax,temp_dailyMin,hum_7h,hum_14h,hum_19h,windBeauf_7h,windBeauf_14h,windBeauf_19h,precip
2009,1,1,1,2009-01-01,10,5,10,-4.5,-0.1,-40.0,-2.4,0.0,-4.7,79.0,71.0,72.0,2,2,2,0
2009,1,1,2,2009-01-02,10,9,10,-3.0,-1.3,-1.7,-2.2,-1.3,-3.1,67.0,66.0,68.0,0,2,3,Spuren
2009,1,1,3,2009-01-03,3,5,1,-4.8,-1.7,-3.9,-3.7,-1.5,-5.9,83.0,70.0,70.0,2,2,2,0
2009,1,1,4,2009-01-04,5,9,9,-3.8,-0.2,-0.5,-3.7,0.2,-7.6,75.0,62.0,63.0,4,4,3,Spuren
2009,1,2,5,2009-01-05,9,10,10,-0.7,-0.6,-1.3,-0.7,0.0,-1.4,64.0,76.0,80.0,4,3,2,Spuren
2009,1,2,6,2009-01-06,10,10,10,-4.4,-3.8,-4.1,-2.9,-1.3,-4.5,87.0,86.0,85.0,2,3,3,Spuren
2009,1,2,7,2009-01-07,10,10,9,-40.0,-3.7,-5.3,-4.6,-3.6,-5.5,79.0,72.0,78.0,1,2,1,Spuren
2009,1,2,8,2009-01-08,1,2,0,-4.4,-2.0,-5.1,-3.6,-1.4,-5.7,72.0,61.0,76.0,4,1,2,0
2009,1,2,9,2009-01-09,0,0,1,-8.5,,-6.4,-5.2,-1.6,-8.8,86.0,63.0,79.0,2,2,1,0
2009,1,2,10,2009-01-10,4,2,0,-10.6,-4.0,-7.2,-7.4,-3.9,-10.9,88.0,70.0,80.0,0,2,2,Spuren
2009,1,2,11,2009-01-11,10,10,10,-7.7,-7.4,-7.2,-8.0,-7.0,-9.0,91.0,89.0,87.0,2,2,3,Spuren
2009,1,3,12,2009-01-12,10,10,10,-7.0,-6.0,-6.6,-6.8,-6.0,-7.6,94.0,92.0,91.0,4,3,4,0.1
2009,1,3,13,2009-01-13,10,10,10,-6.6,-6.0,-5.9,-6.3,-5.8,-6.8,88.0,87.0,89.0,3,3,3,Spuren
2009,1,3,14,2009-01-14,10,10,10,-5.7,-3.9,-3.7,-4.9,-3.1,-6.7,87.0,87.0,86.0,2,1,1,4.3
2009,1,3,15,2009-01-15,10,9,10,-1.2,2.8,1.4,-0.3,3.2,-3.8,79.0,74.0,81.0,1,2,1,0
